Gender,Source,PriceXQuantity,age_group
Male,SEM,1160,18-22
Male,FaceBook campaign,1795,18-22
Male,Instagram Campign,1316,18-22
Male,Instagram Campign,912,18-22
Male,FaceBook campaign,303,18-22
Female,Instagram Campign,598,18-22
Female,SEM,915,18-22
Female,SEM,972,18-22
Female,FaceBook campaign,212,43-47
Female,SEM,445,43-47
Female,Organic Search,294,28-32
Female,FaceBook campaign,292,28-32
Female,FaceBook campaign,335,28-32
Female,Instagram Campign,1612,18-22
Female,SEM,300,18-22
Female,Instagram Campign,498,18-22
Male,Instagram Campign,726,18-22
Male,FaceBook campaign,1431,18-22
Female,SEM,1944,18-22
Female,Instagram Campign,477,28-32
Female,SEM,1341,28-32
Male,SEM,840,23-27
Female,FaceBook campaign,354,18-22
Female,SEM,376,18-22
Female,Instagram Campign,2500,18-22
Female,Instagram Campign,546,18-22
Female,FaceBook campaign,52,18-22
Male,Instagram Campign,260,18-22
Male,SEM,1308,18-22
Male,Instagram Campign,1096,18-22
Male,SEM,696,18-22
Male,FaceBook campaign,259,18-22
Male,SEM,383,18-22
Male,Instagram Campign,918,18-22
Male,Instagram Campign,97,18-22
Male,FaceBook campaign,1135,18-22
Male,Instagram Campign,1664,28-32
Female,SEM,1444,18-22
Male,FaceBook campaign,1280,18-22
Male,Instagram Campign,395,18-22
Male,SEM,1200,28-32
Male,SEM,378,18-22
Male,Instagram Campign,252,18-22
Male,FaceBook campaign,1676,18-22
Female,Instagram Campign,788,18-22
Female,Instagram Campign,608,18-22
Male,Instagram Campign,404,33-37
Female,Instagram Campign,672,18-22
Female,FaceBook campaign,480,18-22
Female,Instagram Campign,156,18-22
Male,Instagram Campign,240,18-22
Male,SEM,190,33-37
Male,FaceBook campaign,460,18-22
Male,Instagram Campign,327,18-22
Male,SEM,75,18-22
Male,Instagram Campign,198,18-22
Female,SEM,676,18-22
Male,Organic Search,1135,33-37
Male,SEM,898,18-22
Male,SEM,1092,28-32
Male,SEM,876,28-32
Male,SEM,366,18-22
Female,Instagram Campign,277,18-22
Female,Instagram Campign,1323,18-22
Male,Instagram Campign,56,18-22
Female,Instagram Campign,1600,18-22
Male,FaceBook campaign,754,18-22
Male,Instagram Campign,148,18-22
Male,Instagram Campign,266,18-22
Male,Instagram Campign,492,28-32
Male,SEM,1660,28-32
Male,Instagram Campign,1392,18-22
Male,Instagram Campign,1860,18-22
Male,FaceBook campaign,1880,18-22
Male,SEM,576,18-22
Female,SEM,103,18-22
Male,SEM,1376,18-22
Male,FaceBook campaign,93,18-22
Male,Organic Search,1210,18-22
Male,SEM,610,18-22
Female,Instagram Campign,1326,18-22
Female,FaceBook campaign,602,18-22
Female,Instagram Campign,813,18-22
Male,Instagram Campign,1460,18-22
Male,SEM,435,18-22
Female,Instagram Campign,576,18-22
Male,SEM,1308,28-32
Female,Instagram Campign,180,18-22
Female,Instagram Campign,315,18-22
Male,SEM,297,18-22
Male,SEM,355,18-22
Female,FaceBook campaign,2280,18-22
Female,FaceBook campaign,292,18-22
Female,FaceBook campaign,750,18-22
Female,FaceBook campaign,314,18-22
Male,SEM,236,18-22
Male,FaceBook campaign,1185,18-22
Male,FaceBook campaign,892,18-22
Female,Instagram Campign,22,18-22
Male,Instagram Campign,256,18-22
Male,Instagram Campign,2150,18-22
Male,Instagram Campign,389,18-22
Male,SEM,676,18-22
Male,FaceBook campaign,355,18-22
Male,SEM,168,18-22
Female,FaceBook campaign,1143,18-22
Female,FaceBook campaign,430,18-22
Male,Instagram Campign,715,18-22
Male,Instagram Campign,1443,18-22
Female,Instagram Campign,790,18-22
Male,FaceBook campaign,1434,18-22
Male,SEM,72,23-27
Male,Instagram Campign,480,23-27
Male,FaceBook campaign,258,18-22
Male,Instagram Campign,188,18-22
Male,Instagram Campign,140,18-22
Male,FaceBook campaign,660,18-22
Female,SEM,463,18-22
Female,FaceBook campaign,908,18-22
Female,Instagram Campign,430,18-22
Female,SEM,1560,18-22
Male,Instagram Campign,164,28-32
Male,Instagram Campign,1168,28-32
Male,SEM,355,28-32
Male,Instagram Campign,482,18-22
Male,SEM,1245,18-22
Female,Instagram Campign,383,18-22
Female,SEM,248,18-22
Male,SEM,111,18-22
Male,FaceBook campaign,74,18-22
Male,Instagram Campign,717,18-22
Female,Instagram Campign,768,18-22
Female,SEM,100,18-22
Female,Instagram Campign,732,18-22
Female,SEM,1532,18-22
Male,SEM,2000,28-32
Female,SEM,940,23-27
Female,Organic Search,1062,23-27
Male,Instagram Campign,30,18-22
Male,Instagram Campign,1660,18-22
Male,Instagram Campign,50,18-22
Female,Instagram Campign,506,18-22
Female,SEM,184,18-22
Female,Instagram Campign,1308,18-22
Female,Instagram Campign,286,18-22
Female,Instagram Campign,78,23-27
Female,Organic Search,1065,33-37
Female,Instagram Campign,934,33-37
Male,FaceBook campaign,970,18-22
Female,FaceBook campaign,856,18-22
Male,Instagram Campign,490,18-22
Male,SEM,708,18-22
Male,Instagram Campign,184,18-22
Male,Instagram Campign,783,18-22
Female,Instagram Campign,293,23-27
Male,FaceBook campaign,1788,18-22
Male,Instagram Campign,94,18-22
Male,SEM,174,18-22
Male,FaceBook campaign,1145,18-22
Male,Instagram Campign,597,18-22
Female,FaceBook campaign,275,18-22
Female,FaceBook campaign,12,18-22
Male,SEM,116,18-22
Male,Organic Search,1608,48-52
Male,Instagram Campign,2210,48-52
Male,Instagram Campign,360,18-22
Male,Instagram Campign,1075,23-27
Male,SEM,130,43-47
Female,FaceBook campaign,669,33-37
Male,Instagram Campign,60,58-62
Male,FaceBook campaign,457,58-62
Male,FaceBook campaign,891,58-62
Male,SEM,540,58-62
Male,Instagram Campign,261,58-62
Male,FaceBook campaign,1020,28-32
Female,SEM,1532,43-47
Female,SEM,24,43-47
Male,SEM,74,43-47
Female,Organic Search,106,53-57
Female,Instagram Campign,47,23-27
Male,Instagram Campign,74,18-22
Male,Instagram Campign,458,18-22
Female,Instagram Campign,996,48-52
Male,FaceBook campaign,882,63+
Female,Instagram Campign,780,38-42
Female,SEM,211,43-47
Female,FaceBook campaign,104,48-52
Female,SEM,258,48-52
Male,Instagram Campign,586,53-57
Male,Instagram Campign,284,43-47
Female,Instagram Campign,819,28-32
Female,Instagram Campign,384,28-32
Female,SEM,832,58-62
Female,Instagram Campign,480,58-62
Female,Instagram Campign,820,53-57
Male,FaceBook campaign,378,53-57
Male,FaceBook campaign,651,53-57
Male,Instagram Campign,1504,53-57
Male,SEM,1233,53-57
Male,FaceBook campaign,352,53-57
Female,Instagram Campign,125,33-37
Female,Instagram Campign,1350,33-37
Male,FaceBook campaign,320,18-22
Male,Instagram Campign,56,63+
Female,Instagram Campign,926,28-32
Female,Instagram Campign,926,58-62
Female,Instagram Campign,690,58-62
Female,SEM,632,58-62
Male,Instagram Campign,172,28-32
Male,SEM,310,28-32
Male,Instagram Campign,343,28-32
Male,FaceBook campaign,195,18-22
Female,SEM,381,58-62
Male,Instagram Campign,480,48-52
Male,FaceBook campaign,645,48-52
Male,FaceBook campaign,1165,48-52
Male,SEM,1323,48-52
Male,FaceBook campaign,805,48-52
Female,Instagram Campign,412,63+
Male,FaceBook campaign,1455,33-37
Male,FaceBook campaign,60,33-37
Female,SEM,372,33-37
Female,SEM,865,33-37
Male,Instagram Campign,346,23-27
Male,Instagram Campign,453,23-27
Male,Instagram Campign,1628,23-27
Male,Instagram Campign,954,23-27
Male,SEM,750,18-22
Male,Instagram Campign,1440,18-22
Male,SEM,393,18-22
Male,Instagram Campign,570,18-22
Female,Instagram Campign,1865,43-47
Male,SEM,1836,58-62
Female,SEM,44,43-47
Male,Instagram Campign,714,58-62
Male,FaceBook campaign,852,18-22
Female,Instagram Campign,711,28-32
Female,FaceBook campaign,260,28-32
Male,FaceBook campaign,64,28-32
Male,Instagram Campign,1140,33-37
Female,SEM,1344,23-27
Male,Instagram Campign,118,33-37
Female,FaceBook campaign,410,23-27
Female,Instagram Campign,193,23-27
Female,Instagram Campign,1004,23-27
Female,Instagram Campign,84,23-27
Female,Instagram Campign,396,23-27
Female,FaceBook campaign,14,58-62
Female,Instagram Campign,908,58-62
Female,Instagram Campign,654,58-62
Male,FaceBook campaign,909,33-37
Female,SEM,480,38-42
Female,Instagram Campign,357,33-37
Male,FaceBook campaign,1070,48-52
Male,Instagram Campign,1170,58-62
Male,Instagram Campign,1320,58-62
Male,FaceBook campaign,168,23-27
Female,Instagram Campign,304,38-42
Female,SEM,464,38-42
Female,Instagram Campign,262,38-42
Male,FaceBook campaign,161,33-37
Male,Instagram Campign,187,33-37
Male,FaceBook campaign,1932,33-37
Female,SEM,91,43-47
Female,Instagram Campign,680,33-37
Female,FaceBook campaign,1845,58-62
Female,FaceBook campaign,335,18-22
Female,Instagram Campign,1304,53-57
Male,Instagram Campign,854,38-42
Male,FaceBook campaign,311,38-42
Female,FaceBook campaign,944,33-37
Male,FaceBook campaign,1248,38-42
Female,FaceBook campaign,141,23-27
Male,Instagram Campign,225,63+
Female,SEM,115,53-57
Female,SEM,40,53-57
Female,Instagram Campign,352,63+
Male,FaceBook campaign,1152,18-22
Male,Instagram Campign,119,18-22
Female,Instagram Campign,60,58-62
Female,Instagram Campign,471,18-22
Female,Instagram Campign,220,18-22
Male,FaceBook campaign,1872,58-62
Male,Instagram Campign,126,58-62
Female,Instagram Campign,1056,23-27
Male,SEM,166,53-57
Male,Instagram Campign,167,53-57
Female,Instagram Campign,1905,23-27
Male,Instagram Campign,1448,18-22
Male,SEM,956,18-22
Male,SEM,933,18-22
Female,Instagram Campign,500,23-27
Male,Instagram Campign,1592,23-27
Male,Instagram Campign,426,23-27
Male,Instagram Campign,990,53-57
Male,FaceBook campaign,1700,58-62
Male,SEM,1352,58-62
Female,SEM,469,63+
Male,Instagram Campign,371,58-62
Male,FaceBook campaign,321,58-62
Male,Instagram Campign,36,23-27
Male,Instagram Campign,1505,28-32
Male,SEM,151,28-32
Male,Instagram Campign,1555,23-27
Female,FaceBook campaign,760,33-37
Female,Instagram Campign,1250,33-37
Female,Instagram Campign,72,28-32
Female,Instagram Campign,1242,63+
Male,Instagram Campign,910,38-42
Male,Instagram Campign,314,48-52
Male,SEM,1110,48-52
Female,Instagram Campign,288,63+
Female,FaceBook campaign,302,63+
Female,SEM,116,63+
Female,Instagram Campign,418,33-37
Female,FaceBook campaign,768,28-32
Female,Instagram Campign,657,18-22
Female,Instagram Campign,225,63+
Female,FaceBook campaign,318,58-62
Female,SEM,2205,58-62
Male,FaceBook campaign,748,43-47
Male,FaceBook campaign,415,43-47
Female,SEM,1374,33-37
Male,Instagram Campign,796,23-27
Female,Instagram Campign,284,18-22
Female,FaceBook campaign,412,18-22
Female,SEM,820,33-37
Female,SEM,965,43-47
Female,SEM,1908,43-47
Male,Instagram Campign,245,63+
Male,Instagram Campign,1248,63+
Female,Organic Search,1640,28-32
Female,FaceBook campaign,225,43-47
Female,FaceBook campaign,314,43-47
Female,SEM,469,53-57
Female,Instagram Campign,80,53-57
Female,FaceBook campaign,1310,53-57
Female,Instagram Campign,1422,53-57
Female,FaceBook campaign,696,38-42
Female,Organic Search,1185,38-42
Female,Instagram Campign,543,63+
Female,FaceBook campaign,760,48-52
Female,Instagram Campign,117,48-52
Female,Instagram Campign,69,58-62
Female,Instagram Campign,1532,58-62
Female,Instagram Campign,474,58-62
Female,FaceBook campaign,80,58-62
Female,Instagram Campign,1672,58-62
Female,FaceBook campaign,885,38-42
Male,Instagram Campign,1970,53-57
Male,Instagram Campign,202,53-57
Female,FaceBook campaign,1395,63+
Male,Instagram Campign,294,43-47
Male,Instagram Campign,91,43-47
Female,SEM,960,48-52
Male,Instagram Campign,696,18-22
Male,FaceBook campaign,930,18-22
Male,Instagram Campign,1449,18-22
Female,Instagram Campign,840,63+
Female,Instagram Campign,690,43-47
Female,Instagram Campign,230,18-22
Female,FaceBook campaign,180,63+
Female,SEM,448,63+
Female,Instagram Campign,1948,63+
Female,FaceBook campaign,884,63+
Male,SEM,1038,38-42
Male,SEM,483,38-42
Female,Instagram Campign,1528,33-37
Male,SEM,272,23-27
Male,Instagram Campign,140,23-27
Male,FaceBook campaign,820,58-62
Male,FaceBook campaign,630,18-22
Male,FaceBook campaign,36,18-22
Female,Instagram Campign,1245,18-22
Female,FaceBook campaign,292,28-32
Female,SEM,135,23-27
Female,SEM,1068,23-27
Female,SEM,636,23-27
Female,SEM,48,53-57
Female,Instagram Campign,141,53-57
Female,Instagram Campign,868,28-32
Male,Organic Search,333,43-47
Male,Organic Search,73,43-47
Male,SEM,1215,48-52
Male,FaceBook campaign,870,48-52
Male,Instagram Campign,40,48-52
Male,Instagram Campign,1828,18-22
Male,Instagram Campign,295,18-22
Female,Organic Search,472,63+
Female,FaceBook campaign,805,63+
Female,Instagram Campign,330,63+
Male,Instagram Campign,215,48-52
Female,Instagram Campign,320,48-52
Female,SEM,836,23-27
Female,Instagram Campign,20,23-27
Female,FaceBook campaign,855,23-27
Female,Instagram Campign,525,23-27
Male,Instagram Campign,954,38-42
Male,SEM,1852,38-42
Male,Instagram Campign,1252,38-42
Male,SEM,702,23-27
Male,SEM,642,38-42
Male,Organic Search,464,38-42
Male,SEM,1437,38-42
Female,Instagram Campign,908,48-52
Female,SEM,1120,18-22
Female,Instagram Campign,2095,43-47
Male,Instagram Campign,894,58-62
Female,Instagram Campign,1675,58-62
Female,Instagram Campign,100,48-52
Male,SEM,1760,48-52
Male,SEM,1525,48-52
Male,Instagram Campign,1158,48-52
Male,Instagram Campign,986,48-52
Male,SEM,1820,63+
Female,Organic Search,897,58-62
Female,FaceBook campaign,148,63+
Female,FaceBook campaign,812,28-32
Male,FaceBook campaign,738,18-22
Male,FaceBook campaign,576,18-22
Male,Instagram Campign,1848,18-22
Male,SEM,1143,43-47
Male,FaceBook campaign,292,43-47
Male,SEM,1076,18-22
Male,Instagram Campign,320,48-52
Male,SEM,2195,48-52
Male,Instagram Campign,969,48-52
Female,SEM,1389,23-27
Male,SEM,996,33-37
Male,Instagram Campign,678,58-62
Female,SEM,1092,38-42
Female,Instagram Campign,282,53-57
Male,Instagram Campign,62,58-62
Male,Instagram Campign,1280,58-62
Male,Instagram Campign,824,53-57
Male,Instagram Campign,1260,18-22
Male,SEM,338,18-22
Male,Instagram Campign,972,18-22
Female,Instagram Campign,216,53-57
Male,FaceBook campaign,789,18-22
Male,FaceBook campaign,1260,18-22
Male,Instagram Campign,1196,18-22
Female,Instagram Campign,594,28-32
Male,Instagram Campign,1885,23-27
Male,FaceBook campaign,219,23-27
Male,SEM,96,23-27
Male,Instagram Campign,1635,23-27
Male,FaceBook campaign,488,23-27
Male,Instagram Campign,888,43-47
Male,SEM,1040,43-47
Male,Instagram Campign,350,58-62
Male,Instagram Campign,250,58-62
Female,SEM,294,33-37
Female,FaceBook campaign,1628,33-37
Male,FaceBook campaign,272,18-22
Male,Instagram Campign,172,53-57
Female,Instagram Campign,740,43-47
Male,SEM,1276,38-42
Male,FaceBook campaign,1070,38-42
Female,FaceBook campaign,1032,48-52
Female,Instagram Campign,425,48-52
Female,Instagram Campign,439,43-47
Female,SEM,359,43-47
Female,Instagram Campign,1152,43-47
Female,Instagram Campign,1344,58-62
Female,Instagram Campign,716,58-62
Female,FaceBook campaign,820,23-27
Female,Instagram Campign,980,63+
Female,SEM,26,63+
Male,SEM,2160,28-32
Male,FaceBook campaign,962,28-32
Male,Instagram Campign,1900,43-47
Male,Instagram Campign,210,43-47
Male,FaceBook campaign,186,43-47
Female,SEM,878,48-52
Female,FaceBook campaign,297,48-52
Male,SEM,2195,53-57
Male,SEM,1672,53-57
Female,SEM,750,28-32
Female,Instagram Campign,403,63+
Female,Instagram Campign,324,58-62
Male,SEM,945,48-52
Male,Instagram Campign,375,23-27
Male,SEM,420,23-27
Male,Instagram Campign,1050,23-27
Male,FaceBook campaign,207,23-27
Male,Instagram Campign,2230,23-27
Female,Instagram Campign,1345,38-42
Female,Instagram Campign,2210,38-42
Female,SEM,441,38-42
Female,SEM,397,28-32
Female,FaceBook campaign,1192,28-32
Male,SEM,1038,63+
Female,Instagram Campign,915,58-62
Female,Instagram Campign,972,58-62
Female,Instagram Campign,645,58-62
Female,SEM,360,53-57
Male,SEM,585,33-37
Male,FaceBook campaign,163,28-32
Female,Instagram Campign,112,63+
Male,SEM,756,18-22
Female,FaceBook campaign,912,38-42
Male,Organic Search,807,48-52
Male,FaceBook campaign,1110,48-52
Female,SEM,1115,43-47
Female,SEM,1440,43-47
Male,Instagram Campign,394,18-22
Male,Instagram Campign,1148,38-42
Male,Instagram Campign,636,38-42
Male,SEM,144,48-52
Male,Organic Search,1100,48-52
Male,Organic Search,1480,48-52
Male,Instagram Campign,660,38-42
Male,Instagram Campign,1165,33-37
Male,SEM,2280,43-47
Male,SEM,408,43-47
Male,Instagram Campign,364,43-47
Male,Organic Search,1464,23-27
Male,SEM,1134,58-62
Female,SEM,165,58-62
Male,FaceBook campaign,442,43-47
Male,FaceBook campaign,480,33-37
Male,FaceBook campaign,190,48-52
Male,FaceBook campaign,690,48-52
Male,SEM,784,48-52
Male,Instagram Campign,100,38-42
Male,Instagram Campign,70,38-42
Male,FaceBook campaign,285,23-27
Male,SEM,375,23-27
Male,FaceBook campaign,1005,23-27
Female,FaceBook campaign,444,33-37
Male,Instagram Campign,432,28-32
Female,Instagram Campign,532,23-27
Female,FaceBook campaign,1095,23-27
Female,Organic Search,119,33-37
Male,Instagram Campign,800,28-32
Male,SEM,795,28-32
Male,FaceBook campaign,924,33-37
Male,Instagram Campign,698,33-37
Female,Instagram Campign,298,63+
Female,Organic Search,1312,63+
Male,FaceBook campaign,1288,58-62
Male,SEM,1645,58-62
Female,SEM,2115,63+
Female,Instagram Campign,1056,38-42
Female,Instagram Campign,1735,38-42
Female,Instagram Campign,684,28-32
Male,FaceBook campaign,824,58-62
Male,SEM,1790,53-57
Male,SEM,144,53-57
Male,Instagram Campign,1844,53-57
Male,SEM,2210,53-57
Male,SEM,49,53-57
Female,Instagram Campign,198,33-37
Female,Instagram Campign,470,33-37
Male,Instagram Campign,271,38-42
Male,Instagram Campign,1144,38-42
Female,FaceBook campaign,442,33-37
Female,FaceBook campaign,336,33-37
Female,SEM,79,18-22
Female,Instagram Campign,278,18-22
Female,FaceBook campaign,317,18-22
Female,Instagram Campign,218,38-42
Male,FaceBook campaign,291,18-22
Female,Instagram Campign,2080,23-27
Female,FaceBook campaign,208,43-47
Female,SEM,273,43-47
Female,FaceBook campaign,1505,43-47
Female,FaceBook campaign,558,43-47
Female,SEM,1443,63+
Female,Instagram Campign,748,63+
Female,Instagram Campign,632,63+
Male,Instagram Campign,154,33-37
Male,Instagram Campign,233,33-37
Female,FaceBook campaign,828,33-37
Female,Instagram Campign,616,43-47
Male,SEM,351,18-22
Female,FaceBook campaign,405,43-47
Male,Instagram Campign,524,53-57
Male,FaceBook campaign,324,63+
Female,Instagram Campign,1266,38-42
Female,Instagram Campign,1200,38-42
Male,FaceBook campaign,70,58-62
Male,Instagram Campign,568,58-62
Male,FaceBook campaign,337,58-62
Male,Instagram Campign,554,58-62
Female,Instagram Campign,338,58-62
Female,Instagram Campign,228,58-62
Female,SEM,276,58-62
Female,Instagram Campign,632,58-62
Male,Instagram Campign,1372,43-47
Female,Instagram Campign,366,28-32
Female,Instagram Campign,660,28-32
Female,FaceBook campaign,60,28-32
Female,Instagram Campign,814,28-32
Female,Instagram Campign,272,28-32
Male,Organic Search,1191,33-37
Female,Instagram Campign,993,38-42
Female,FaceBook campaign,372,38-42
Male,Instagram Campign,249,33-37
Male,Instagram Campign,1036,33-37
Male,FaceBook campaign,648,18-22
Male,Instagram Campign,700,18-22
Male,SEM,975,18-22
Female,SEM,1374,23-27
Male,Instagram Campign,1240,63+
Female,SEM,1290,23-27
Female,Instagram Campign,466,23-27
Male,Instagram Campign,240,28-32
Male,FaceBook campaign,1015,28-32
Male,FaceBook campaign,99,38-42
Male,FaceBook campaign,40,38-42
Male,Instagram Campign,480,48-52
Male,Instagram Campign,225,48-52
Male,Instagram Campign,115,28-32
Male,Instagram Campign,422,18-22
Male,Instagram Campign,1565,18-22
Female,SEM,990,38-42
Female,FaceBook campaign,406,38-42
Male,FaceBook campaign,490,38-42
Male,Instagram Campign,375,38-42
Male,Instagram Campign,1525,18-22
Male,FaceBook campaign,1220,18-22
Female,Organic Search,273,58-62
Female,Instagram Campign,1775,58-62
Male,Instagram Campign,370,63+
Female,FaceBook campaign,132,43-47
Female,Instagram Campign,288,43-47
Female,FaceBook campaign,825,43-47
Male,FaceBook campaign,494,48-52
Female,Organic Search,204,43-47
Female,SEM,904,43-47
Male,FaceBook campaign,344,58-62
Female,Instagram Campign,1182,28-32
Male,FaceBook campaign,498,38-42
Female,Organic Search,2285,53-57
Female,FaceBook campaign,2460,23-27
Female,Instagram Campign,170,23-27
Female,SEM,335,48-52
Female,SEM,744,38-42
Male,Instagram Campign,126,53-57
Female,FaceBook campaign,474,58-62
Female,Instagram Campign,1584,43-47
Female,Instagram Campign,1364,43-47
Male,Instagram Campign,832,63+
Male,SEM,2255,63+
Female,SEM,1948,33-37
Female,SEM,348,63+
Male,Instagram Campign,480,38-42
Female,SEM,552,58-62
Female,Instagram Campign,260,58-62
Female,Instagram Campign,1371,58-62
Female,Instagram Campign,1377,63+
Male,Instagram Campign,1205,53-57
Male,SEM,298,18-22
Male,Instagram Campign,1056,18-22
Male,SEM,45,28-32
Male,SEM,556,28-32
Male,Instagram Campign,1205,33-37
Female,SEM,386,58-62
Female,Instagram Campign,400,58-62
Female,Instagram Campign,1284,33-37
Female,Instagram Campign,1060,63+
Female,FaceBook campaign,1708,23-27
Female,FaceBook campaign,680,23-27
Female,FaceBook campaign,345,23-27
Female,Instagram Campign,768,23-27
Female,Instagram Campign,285,23-27
Female,FaceBook campaign,747,23-27
Female,FaceBook campaign,410,23-27
Female,FaceBook campaign,260,23-27
Female,Instagram Campign,153,48-52
Female,Instagram Campign,320,48-52
Female,SEM,341,43-47
Female,Instagram Campign,96,43-47
Female,FaceBook campaign,98,38-42
Female,Instagram Campign,576,58-62
Male,Instagram Campign,461,33-37
Male,Instagram Campign,606,33-37
Female,Instagram Campign,177,58-62
Male,FaceBook campaign,145,38-42
Male,Instagram Campign,460,38-42
Female,Instagram Campign,651,63+
Female,Instagram Campign,2310,63+
Female,Organic Search,1710,63+
Female,Organic Search,1565,63+
Female,Instagram Campign,17,53-57
Female,Instagram Campign,796,53-57
Male,FaceBook campaign,1341,43-47
Male,FaceBook campaign,1444,33-37
Female,Instagram Campign,657,48-52
Female,FaceBook campaign,328,48-52
Female,Instagram Campign,263,48-52
Male,Instagram Campign,456,53-57
Male,Instagram Campign,44,28-32
Female,FaceBook campaign,614,38-42
Female,FaceBook campaign,267,38-42
Female,Instagram Campign,269,38-42
Female,FaceBook campaign,470,28-32
Female,SEM,716,43-47
Female,SEM,882,23-27
Female,Instagram Campign,1260,33-37
Female,SEM,462,33-37
Male,SEM,580,48-52
Female,Organic Search,846,43-47
Female,Instagram Campign,294,28-32
Male,SEM,540,38-42
Male,SEM,106,38-42
Male,Instagram Campign,801,18-22
Male,Instagram Campign,187,23-27
Female,Organic Search,370,23-27
Female,SEM,1386,38-42
Female,Organic Search,373,38-42
Female,Instagram Campign,224,63+
Female,FaceBook campaign,562,63+
Female,FaceBook campaign,1448,23-27
Female,SEM,1744,23-27
Female,FaceBook campaign,379,38-42
Male,Instagram Campign,207,18-22
Male,SEM,1161,53-57
Male,Organic Search,414,53-57
Female,SEM,1852,48-52
Male,SEM,1212,18-22
Male,FaceBook campaign,1029,58-62
Male,FaceBook campaign,868,58-62
Male,FaceBook campaign,1450,23-27
Male,Instagram Campign,368,48-52
Female,Organic Search,126,58-62
Female,FaceBook campaign,463,58-62
Male,SEM,2035,53-57
Female,Instagram Campign,1445,53-57
Female,Instagram Campign,660,53-57
Female,Instagram Campign,182,58-62
Male,SEM,2220,58-62
Male,Instagram Campign,322,63+
Male,Instagram Campign,1690,63+
Female,SEM,150,23-27
Female,SEM,1120,53-57
Female,Instagram Campign,288,53-57
Male,SEM,2420,28-32
Male,Instagram Campign,1347,63+
Male,Instagram Campign,1984,38-42
Male,FaceBook campaign,320,38-42
Male,SEM,1158,38-42
Female,SEM,1740,28-32
Male,Instagram Campign,229,48-52
Male,Organic Search,1155,28-32
Female,Instagram Campign,876,23-27
Female,Instagram Campign,786,23-27
Female,FaceBook campaign,960,23-27
Male,SEM,1230,48-52
Female,SEM,339,23-27
Female,Instagram Campign,75,43-47
Female,Instagram Campign,447,43-47
Female,SEM,848,58-62
Female,SEM,415,18-22
Male,FaceBook campaign,600,53-57
Male,SEM,135,53-57
Male,Instagram Campign,420,53-57
Male,Instagram Campign,1344,53-57
Male,FaceBook campaign,129,63+
Male,SEM,1236,63+
Male,SEM,1456,33-37
Female,Organic Search,475,48-52
Female,SEM,878,48-52
Female,Organic Search,526,18-22
Female,SEM,1632,58-62
Female,SEM,1380,58-62
Female,SEM,343,18-22
Female,Instagram Campign,624,18-22
Female,SEM,1025,53-57
Male,Instagram Campign,352,63+
Male,Instagram Campign,1925,63+
Female,FaceBook campaign,80,23-27
Female,Instagram Campign,112,58-62
Female,Instagram Campign,208,48-52
